Total Requests,Successful Requests,Failed Requests,Execution Time (seconds),Requests Per Second,Total Energy Consumption (J),Average Power Consumption (W),Number of Samples,Average CPU Usage (% of System),Average CPU Usage (Cores),Average Memory Usage (MB)
10000,10000,0,7.56719446182251,1321.493725376203,0.28147272881988833,0.037196444499999995,8,0.0,0.0,0.0
50000,50000,0,42.704962491989136,1170.82411697187,1.4935645127723682,0.03497402703614458,83,0.0,0.0,0.0
90000,90000,0,76.88360357284546,1170.600697907286,2.7052192083695936,0.03518590548121824,197,0.0,0.0,0.0
90000,90000,0,90.4982488155365,994.4943816918261,3.139801488837217,0.03469461044751381,181,0.0,0.0,0.0
90000,90000,0,81.57897639274597,1103.2254139438164,2.6343315473286597,0.032291794575187945,133,0.0,0.0,0.0
90000,90000,0,92.8446683883667,969.3609936063584,3.467410376893051,0.03734635964651162,215,84.57366736111106,6.765893388888885,0.0
90000,90000,0,90.51936554908752,994.2623819120133,3.036721616388658,0.03354775630571429,175,83.79910147392286,6.7039281179138275,0.0
90000,90000,0,75.486332654953,1192.2688099233642,0.0,0.0,0,0.0,0.0,0.026925223214285716
90000,90000,0,78.73992085456848,1143.003434893321,0.0,0.0,0,0.0,0.0,0.02933517156862745
90000,90000,0,79.55160140991211,1131.3411471913628,2.7074574185770808,0.03403397757671956,189,81.56923207364333,6.525538565891468,0.0
90000,90000,0,108.78145623207092,827.3468945662654,3.768790599502864,0.0346455244307692,130,0.0,0.0,0.0
90000,90000,0,105.25308632850647,855.0818141246717,3.605401320088278,0.03425459001587301,189,0.010099747474747471,0.0008079797979797977,0.0
90000,90000,0,80.5573616027832,1117.2163314356928,2.5607387654635265,0.03178776854795918,196,86.6653503787878,6.9332280303030265,0.0
1000,1000,0,1.0106244087219238,989.4872826836234,0.0,0.0,0,0.027777777777777776,0.0022222222222222222,0.0
1000,1000,0,1.0062975883483887,993.7418230737045,0.0,0.0,0,0.003968253968253968,0.00031746031746031746,0.0
100000,100000,0,94.31486940383911,1060.2782003738794,3.039232197536054,0.03222431644921878,256,1.438093220338983,0.11504745762711864,239.47503972457628
100000,100000,0,145.8734576702118,685.5256713395954,5.807456899783724,0.03981160790000003,220,1.4980357142857146,0.11984285714285717,249.04743303571428
100000,100000,0,142.2835202217102,702.8220825867759,5.281578293068488,0.037120098552795036,161,1.571826923076923,0.12574615384615384,274.56505408653845
100000,100000,0,104.11808729171753,960.4479164107241,3.6701138595292613,0.03524953209375,192,1.4607936507936508,0.11686349206349206,240.67540922619048
10000,10000,0,11.230088949203491,890.4648970486795,0.40245726063506293,0.03583740631578949,19,0.65075,1.7737500000000002,52.06,100.428125,121.00390625,1004.28125
10000,10000,0,12.063897609710693,828.9195020977811,0.4179183553086865,0.0346420675,12,0.6446590909090909,1.7725000000000002,56.730000000000004,100.33345170454545,122.23046875,1103.66796875
10000,10000,0,11.566429615020752,864.5710329671217,0.399175684770798,0.0345115734117647,17,0.7075,2.4050000000000002,56.6,100.13359375,122.06640625,1001.3359375
50000,50000,0,52.23859524726868,957.1467181176599,1.9873846684491718,0.03804437426086957,23,1.3307142857142857,1.8050000000000002,372.6,145.29296875,149.5625,5085.25390625
