Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
100,100,0,0.11832761764526367,845.1112427513892,0.0015224890155419541,0.01286672584,5,0.3875,6.2,49.6,78.64453125,78.64453125,1258.3125
100,100,0,0.1362924575805664,733.7163169200843,0.002860401338503408,0.020987231349999996,4,0.815625,13.05,104.4,81.51171875,81.51171875,1304.1875
1000,1000,0,0.8449516296386719,1183.4996997729108,0.3727152470631294,0.441108383,2,1.9448529411764706,17.175,264.5,80.11557904411765,80.2421875,1361.96484375
5000,5000,0,4.0596630573272705,1231.6293075050942,6.315523896017032,1.5556768645166663,6,4.441477272727273,19.6875,781.7,80.18412642045455,80.84375,1764.05078125
8000,8000,0,6.652734994888306,1202.512952364235,13.472901942924517,2.0251673865375,8,5.364423076923076,18.2125,1115.8,81.4247295673077,82.0859375,2117.04296875
10000,10000,0,8.095332145690918,1235.2797661703012,40.20983149751699,4.9670391249999994,4,7.111607142857143,19.45,1593.0,79.79352678571429,80.63671875,2234.21875
15000,15000,0,12.204507112503052,1229.054140550508,28.810060072562912,2.360608241446154,13,7.652142857142857,18.725,2142.6,83.23738839285714,84.1640625,2913.30859375
20000,20000,0,16.93647813796997,1180.8830523721401,44.50172918462218,2.6275668897687496,16,9.102678571428571,18.35,3058.5,84.31529017857143,85.14453125,3541.2421875
100,100,0,0.12353229522705078,809.5049138057483,0.0,0.0,0,0.3578125,5.725,45.8,78.65234375,78.65234375,1258.4375
1000,1000,0,0.8506214618682861,1175.6110618272223,0.11436498953722332,0.13444874678571428,7,1.842647058823529,15.2625,250.6,81.99379595588235,82.12109375,1393.89453125
5000,5000,0,4.128803491592407,1211.004594958717,4.236167069215963,1.0260035571666666,9,4.794886363636364,18.675,843.9,81.88441051136364,82.21484375,1801.45703125
8000,8000,0,6.600727796554565,1211.9875635798562,18.893675084665638,2.8623624041166673,6,6.351442307692308,19.0375,1321.1,80.36478365384616,80.87890625,2089.484375
10000,10000,0,8.069663286209106,1239.2090779165223,35.203909362370524,4.3625004060000006,5,7.046875,18.6125,1578.5,82.09514508928571,82.66796875,2298.6640625
15000,15000,0,12.167356491088867,1232.8068147740805,27.98974907102566,2.3003968932384615,13,7.661428571428571,18.1125,2145.2,83.36863839285714,84.79296875,2917.90234375
20000,20000,0,16.979607582092285,1177.8835231205933,49.73670835782242,2.929202463446667,15,9.55625,18.775,3210.9,81.44800967261905,83.2265625,3420.81640625
